data,descricao,valor,categoria
2024-06-02,Supermercado,350.00,Alimentação
2024-06-05,Aluguel,1800.00,Moradia
2024-06-12,Academia,120.00,Saúde
2024-01-03,Padaria,45.00,Alimentação
2024-01-07,Transporte,80.00,Transporte
2024-01-12,Internet,120.00,Moradia
2024-01-15,Restaurante,90.00,Alimentação
2024-01-20,Remédio,60.00,Saúde
2024-01-25,Faculdade,600.00,Educação
2024-02-03,Padaria,50.00,Alimentação
2024-02-07,Transporte,85.00,Transporte
2024-02-12,Internet,125.00,Moradia
2024-02-15,Restaurante,95.00,Alimentação
2024-02-20,Remédio,65.00,Saúde
2024-02-25,Faculdade,610.00,Educação
2024-03-03,Padaria,55.00,Alimentação
2024-03-07,Transporte,90.00,Transporte
2024-03-12,Internet,130.00,Moradia
2024-03-15,Restaurante,100.00,Alimentação
2024-03-20,Remédio,70.00,Saúde
2024-03-25,Faculdade,620.00,Educação
2024-04-03,Padaria,60.00,Alimentação
2024-04-07,Transporte,95.00,Transporte
2024-04-12,Internet,135.00,Moradia
2024-04-15,Restaurante,105.00,Alimentação
2024-04-20,Remédio,75.00,Saúde
2024-04-25,Faculdade,630.00,Educação
2024-05-03,Padaria,65.00,Alimentação
2024-05-07,Transporte,100.00,Transporte
2024-05-12,Internet,140.00,Moradia
2024-05-15,Restaurante,110.00,Alimentação
2024-05-20,Remédio,80.00,Saúde
2024-05-25,Faculdade,640.00,Educação
2024-06-03,Padaria,70.00,Alimentação
2024-06-07,Transporte,105.00,Transporte
2024-06-13,Internet,145.00,Moradia
2024-06-16,Restaurante,115.00,Alimentação
2024-06-21,Remédio,85.00,Saúde
2024-06-26,Faculdade,650.00,Educação
2024-07-03,Padaria,75.00,Alimentação
2024-07-07,Transporte,110.00,Transporte
2024-07-12,Internet,150.00,Moradia
2024-07-15,Restaurante,120.00,Alimentação
2024-07-20,Remédio,90.00,Saúde
2024-07-25,Faculdade,660.00,Educação
2024-08-03,Padaria,80.00,Alimentação
2024-08-07,Transporte,115.00,Transporte
2024-08-12,Internet,155.00,Moradia
2024-08-15,Restaurante,125.00,Alimentação
2024-08-20,Remédio,95.00,Saúde
2024-08-25,Faculdade,670.00,Educação
2024-09-03,Padaria,85.00,Alimentação
2024-09-07,Transporte,120.00,Transporte
2024-09-12,Internet,160.00,Moradia
2024-09-15,Restaurante,130.00,Alimentação
2024-09-20,Remédio,100.00,Saúde
2024-09-25,Faculdade,680.00,Educação
2024-10-03,Padaria,90.00,Alimentação
2024-10-07,Transporte,125.00,Transporte
2024-10-12,Internet,165.00,Moradia
2024-10-15,Restaurante,135.00,Alimentação
2024-10-20,Remédio,105.00,Saúde
2024-10-25,Faculdade,690.00,Educação
2024-11-03,Padaria,95.00,Alimentação
2024-11-07,Transporte,130.00,Transporte
2024-11-12,Internet,170.00,Moradia
2024-11-15,Restaurante,140.00,Alimentação
2024-11-20,Remédio,110.00,Saúde
2024-11-25,Faculdade,700.00,Educação
2024-12-03,Padaria,100.00,Alimentação
2024-12-07,Transporte,135.00,Transporte
2024-12-12,Internet,175.00,Moradia
2024-12-15,Restaurante,145.00,Alimentação
2024-12-20,Remédio,115.00,Saúde
2024-12-25,Faculdade,710.00,Educação
2023-01-03,Padaria,40.00,Alimentação
2023-01-07,Transporte,70.00,Transporte
2023-01-12,Internet,110.00,Moradia
2023-01-15,Restaurante,80.00,Alimentação
2023-01-20,Remédio,50.00,Saúde
2023-01-25,Faculdade,500.00,Educação
2023-02-03,Padaria,42.00,Alimentação
2023-02-07,Transporte,72.00,Transporte
2023-02-12,Internet,112.00,Moradia
2023-02-15,Restaurante,82.00,Alimentação
2023-02-20,Remédio,52.00,Saúde
2023-02-25,Faculdade,510.00,Educação
2023-03-03,Padaria,44.00,Alimentação
2023-03-07,Transporte,74.00,Transporte
2023-03-12,Internet,114.00,Moradia
2023-03-15,Restaurante,84.00,Alimentação
2023-03-20,Remédio,54.00,Saúde
2023-03-25,Faculdade,520.00,Educação
2023-04-03,Padaria,46.00,Alimentação
