data,descricao,valor,categoria
2022-01-05,Salário mensal,5200.00,Salário
2022-01-15,Projeto freelance site,1800.00,Freelance
2022-01-20,Dividendos ações,320.00,Investimentos
2022-02-01,Aluguel apartamento,950.00,Aluguel
2022-02-10,Prêmio rifa,200.00,Prêmio
2022-02-18,Restituição IR,1200.00,Restituição
2022-03-03,Reembolso viagem,450.00,Reembolso
2022-03-12,Salário mensal,5250.00,Salário
2022-03-20,Projeto app mobile,2500.00,Freelance
2022-03-25,Herança família,5000.00,Herança
2022-04-02,Aluguel loja,1100.00,Aluguel
2022-04-10,Prêmio bingo,150.00,Prêmio
2022-04-15,Dividendos fundos,400.00,Investimentos
2022-05-01,Salário mensal,5300.00,Salário
2022-05-08,Projeto consultoria,2100.00,Freelance
2022-05-15,Restituição plano saúde,300.00,Restituição
2022-05-20,Reembolso curso,600.00,Reembolso
2022-06-01,Aluguel garagem,300.00,Aluguel
2022-06-10,Prêmio sorteio,500.00,Prêmio
2022-06-18,Dividendos ações,350.00,Investimentos
2022-07-01,Salário mensal,5400.00,Salário
2022-07-12,Projeto design,1700.00,Freelance
2022-07-20,Restituição IR,1100.00,Restituição
2022-07-25,Reembolso viagem,400.00,Reembolso
2022-08-01,Aluguel apartamento,1000.00,Aluguel
2022-08-10,Prêmio loteria,2000.00,Prêmio
2022-08-15,Dividendos fundos,420.00,Investimentos
2022-09-01,Salário mensal,5500.00,Salário
2022-09-10,Projeto web,2300.00,Freelance
2022-09-18,Restituição plano saúde,350.00,Restituição
2022-09-25,Reembolso curso,700.00,Reembolso
2022-10-01,Aluguel loja,1200.00,Aluguel
2022-10-10,Prêmio bingo,180.00,Prêmio
2022-10-15,Dividendos ações,370.00,Investimentos
2022-11-01,Salário mensal,5600.00,Salário
2022-11-08,Projeto consultoria,2200.00,Freelance
2022-11-15,Restituição IR,1300.00,Restituição
2022-11-20,Reembolso viagem,500.00,Reembolso
2022-12-01,Aluguel garagem,350.00,Aluguel
2022-12-10,Prêmio sorteio,600.00,Prêmio
2022-12-18,Dividendos fundos,390.00,Investimentos
2023-01-05,Salário mensal,5700.00,Salário
2023-01-15,Projeto freelance app,2000.00,Freelance
2023-01-20,Dividendos ações,340.00,Investimentos
